complaint_text,category,source
the power supply is unstable outside our building. pedestrians may be at risk. Please arrange an inspection.,electricity,v3_natural_augmentation
The electricity service has a problem with street light out close to the town centre. We would appreciate assistance with this problem.,electricity,v2_original
"near the playground, the recently repaired road is damaged again.",roads,v3_natural_augmentation
Residents report that rubbish has not been collected for several days close to the bus stop.,garbage,v3_natural_augmentation
Residents have reported multiple street lights out near the public market.,electricity,v2_original
"There is rough, pitted or cracked roads near our house.",roads,v2_original
We are experiencing a problem where plastic and household rubbish have been dumped at the village entrance. the area has become very dirty and unpleasant. We would appreciate prompt assistance.,garbage,v3_natural_augmentation
wastewater appears to be polluting the surrounding land near the playground. the problem is affecting the surrounding environment. The responsible department should inspect the area.,environment,v3_natural_augmentation
There is a water supply issue involving leak close to the town centre. Please investigate this issue.,water_supply,v2_original
"People in the area are experiencing taste/odor, chlorine along the roadside. Please resolve this problem as soon as possible.",water_supply,v2_original
The road has cave-in on the main road.,roads,v2_original
There is a waste management problem involving loose rubbish in our neighbourhood. This issue needs urgent attention.,garbage,v2_original
Residents report that the roadside curb is badly damaged outside the school.,roads,v3_natural_augmentation
Residents report that the recently repaired road is damaged again near the community centre.,roads,v3_natural_augmentation
"The area is affected by air: smoke, vehicular along the roadside. Residents are requesting assistance.",environment,v2_original
There is a public complaint because the drinking water has become discoloured close to the town centre. families are struggling without a reliable water supply. Residents are requesting assistance.,water_supply,v3_natural_augmentation
The road surface is damaged due to failed street repair on the main road.,roads,v2_original
People in the area are affected by lighting near the junction. The problem has been continuing for some time.,electricity,v2_original
The area is affected by large number of mosquitoes along the roadside.,environment,v2_original
The drain is causing problems because of rain garden flooding along the roadside. We would appreciate assistance with this problem.,drainage,v2_original
We would like to report that clean water is leaking continuously from a pipe along the main road.,water_supply,v3_natural_augmentation
The community would like to report that floodwater is building up because the drain is blocked beside the public walkway. rainwater is spreading across the road. Please take the necessary action.,drainage,v3_natural_augmentation
the drinking water has become discoloured close to the local clinic. the problem is affecting several nearby homes. Please send the appropriate team to inspect this problem.,water_supply,v3_natural_augmentation
"beside the public walkway, clean water is leaking continuously from a pipe. the interruption has continued for several hours. We would appreciate prompt assistance.",water_supply,v3_natural_augmentation
Drivers are facing problems because of curb defect-metal protruding in the residential area. Please resolve this problem as soon as possible.,roads,v2_original
We are experiencing a problem where an electrical wire is hanging dangerously low near the public market. the damaged equipment could become dangerous. Please resolve this issue as soon as possible.,electricity,v3_natural_augmentation
The community would like to report that the neighbourhood has had no running water near our houses. families are struggling without a reliable water supply. We would appreciate prompt assistance.,water_supply,v3_natural_augmentation
Please resolve the drainage issue involving catch basin clogged/flooding in the residential area. The problem has been continuing for some time.,drainage,v2_original
the storm drain is not clearing rainwater in the residential area. Please arrange an inspection.,drainage,v3_natural_augmentation
We are experiencing a problem where the public garbage bin is overflowing near the playground. children and pedestrians have to pass close to the rubbish. The responsible department should inspect the area.,garbage,v3_natural_augmentation
"near the public market, the local water supply keeps stopping.",water_supply,v3_natural_augmentation
"Please inspect the environmental issue involving unsafe chemical, abandoned close to the town centre. Please resolve this problem as soon as possible.",environment,v2_original
The road needs attention because of wear & tear near the public market. Please investigate this issue.,roads,v2_original
We are experiencing a problem where an electrical box has been left open near the community centre. the outage is disrupting normal daily activities. Residents would like this problem resolved.,electricity,v3_natural_augmentation
Residents have reported lamppost knocked down near the junction. This issue needs urgent attention.,electricity,v2_original
a live electrical cable appears to be exposed near the junction.,electricity,v3_natural_augmentation
Please arrange cleaning because of improper disposal in our neighbourhood. This issue needs urgent attention.,garbage,v2_original
the street lighting has stopped working close to the local clinic. Please address this issue.,electricity,v3_natural_augmentation
Residents are concerned about chemical vapors/gases/odors close to the bus stop. We would appreciate assistance with this problem.,environment,v2_original
"Please repair rough, pitted or cracked roads near the school. This is causing inconvenience to the public.",roads,v2_original
The community would like to report that the road surface has deteriorated near the railway station. traffic is slowing down around the damaged section.,roads,v3_natural_augmentation
We have noticed chemical spill/release in the residential area.,environment,v2_original
Sewage Odor is causing drainage problems close to the town centre. We would appreciate assistance with this problem.,drainage,v2_original
"We have noticed unsafe chemical, abandoned close to the town centre. Residents are requesting assistance.",environment,v2_original
Residents have reported that floodwater is building up because the drain is blocked near our houses. the area floods whenever it rains. Please take the necessary action.,drainage,v3_natural_augmentation
Residents have complained about missed collection on the main road. Please take the necessary action.,garbage,v2_original
Please investigate the water problem caused by heavy flow along the roadside. This is causing inconvenience to the public.,water_supply,v2_original
"near our houses, the asphalt surface is breaking apart. the damaged surface is becoming worse every day. Please send the appropriate team to inspect this problem.",roads,v3_natural_augmentation
There appears to be wiring near the public market. We would appreciate assistance with this problem.,electricity,v2_original
the drainage system is overflowing during rainfall beside the public road. We would appreciate prompt assistance.,drainage,v3_natural_augmentation
There is pothole close to the bus stop. The problem has been continuing for some time.,roads,v2_original
The drainage system is affected by sewer backup near the hospital. This is causing inconvenience to the public.,drainage,v2_original
Residents have reported that a large amount of rubbish is scattered around outside our building. the waste is creating an unhealthy environment. The responsible department should inspect the area.,garbage,v3_natural_augmentation
The electrical system needs attention because of wiring in the residential area.,electricity,v2_original
Residents are concerned about chemical odor near the public market. Please resolve this problem as soon as possible.,environment,v2_original
"Residents are concerned about oil spill on street, small in the residential area. Please arrange an inspection.",environment,v2_original
There is rain garden flooding near the school. Please resolve this problem as soon as possible.,drainage,v2_original
Electrical Wiring Defective/Exposed is affecting the area near the hospital. Please take the necessary action.,electricity,v2_original
Residents have complained about missed collection in our neighbourhood. This is causing inconvenience to the public.,garbage,v2_original
"close to the bus stop, household waste has been dumped illegally.",garbage,v3_natural_augmentation
The road surface is damaged due to broken curb near our house. Please send the responsible team to inspect the area.,roads,v2_original
"at the village entrance, the street lighting has stopped working.",electricity,v3_natural_augmentation
There appears to be lamppost knocked down near the junction. Please send the responsible team to inspect the area.,electricity,v2_original
"Please inspect the environmental issue involving air: smoke, chimney or vent near the junction.",environment,v2_original
Residents have reported that there has been no water supply since this morning close to the bus stop. people are concerned about the quality of the drinking water. Residents are requesting assistance.,water_supply,v3_natural_augmentation
We would like to report that a section of the road has sunk beside the public walkway.,roads,v3_natural_augmentation
"Oil Spill On Street, Small is affecting the surrounding environment near the public market. This issue needs urgent attention.",environment,v2_original
We would like to report broken curb near the junction.,roads,v2_original
People living nearby have noticed that large numbers of mosquitoes are affecting residents near the playground. the air is becoming difficult to breathe. Please investigate this problem.,environment,v3_natural_augmentation
The road has pothole - highway in the residential area. Please arrange an inspection.,roads,v2_original
"This environmental problem involves unsafe chemical, abandoned along the roadside. Please resolve this problem as soon as possible.",environment,v2_original
Residents are reporting sewer or drain in our neighbourhood.,drainage,v2_original
Garbage collection is affected by loose rubbish near the public market. Please take the necessary action.,garbage,v2_original
The electricity service has a problem with no lighting near the hospital.,electricity,v2_original
Residents have reported slow leak close to the bus stop. The problem has been continuing for some time.,water_supply,v2_original
There is pothole - highway near the hospital. We would appreciate assistance with this problem.,roads,v2_original
Residents have reported that a large amount of rubbish is scattered around near our houses. children and pedestrians have to pass close to the rubbish. We would appreciate prompt assistance.,garbage,v3_natural_augmentation
vehicles are struggling because of the rough road outside the hospital.,roads,v3_natural_augmentation
The electricity service has a problem with no lighting near the public market. We would appreciate assistance with this problem.,electricity,v2_original
Residents have complained about missed recycling-all materials near the junction. This issue needs urgent attention.,garbage,v2_original
Residents are requesting action regarding chemical odor near the hospital. Please take the necessary action.,environment,v2_original
The community would like to report that uncollected garbage is piling up near the school. flies and stray animals are gathering around the waste. Please send the appropriate team to inspect this problem.,garbage,v3_natural_augmentation
Wastewater problems have occurred due to sewer backup close to the town centre.,drainage,v2_original
People living nearby have noticed that the drinking water looks cloudy outside our building. the problem is affecting several nearby homes. Please arrange an inspection.,water_supply,v3_natural_augmentation
We are experiencing a problem where an electric pole appears to be damaged in the residential area. the electrical fault needs to be inspected. Residents would like this problem resolved.,electricity,v3_natural_augmentation
There is wear & tear outside our building. Please take the necessary action.,roads,v2_original
Residents are reporting catch basin clogged/flooding near the public market. This is causing inconvenience to the public.,drainage,v2_original
Dirty Area/Alleyway is creating an unsanitary condition near the public market. We would appreciate assistance with this problem.,garbage,v2_original
Vehicles are being affected by pothole - highway close to the town centre.,roads,v2_original
Residents have complained about missed recycling paper in our neighbourhood. Please take the necessary action.,garbage,v2_original
The drain is causing problems because of culvert blocked/needs cleaning along the roadside.,drainage,v2_original
There is a public complaint because the roadside curb is badly damaged close to the bus stop. the road is difficult to use safely at night. Residents are requesting assistance.,roads,v3_natural_augmentation
Curb Defect-Metal Protruding is causing difficulties for vehicles near our house. We would appreciate assistance with this problem.,roads,v2_original
"near the junction, there has been a power outage.",electricity,v3_natural_augmentation
The electricity service has a problem with lamppost wire exposed on the main road. Please arrange an inspection.,electricity,v2_original
There appears to be low water pressure in our neighbourhood.,water_supply,v2_original
Wastewater problems have occurred due to sewer backup near our house. Please arrange an inspection.,drainage,v2_original
The electricity service has a problem with lamppost wire exposed close to the bus stop. Please send the responsible team to inspect the area.,electricity,v2_original
"near the school, the drainage system is overflowing during rainfall.",drainage,v3_natural_augmentation
the supplied water has a strange smell near the railway station. Please resolve this issue as soon as possible.,water_supply,v3_natural_augmentation
"People nearby have complained about air: odor/fumes, restaurant near the public market. This issue needs urgent attention.",environment,v2_original
Residents report that the garbage collection has been missed repeatedly near our houses.,garbage,v3_natural_augmentation
"Air: Smoke, Vehicular is affecting the surrounding environment outside our building.",environment,v2_original
People living nearby have noticed that the culvert appears to be blocked outside our building. stagnant water is remaining for several days. The responsible department should inspect the area.,drainage,v3_natural_augmentation
Wastewater problems have occurred due to catch basin clogged/flooding outside our building. This issue needs urgent attention.,drainage,v2_original
The road surface is damaged due to failed street repair near the hospital.,roads,v2_original
We are experiencing a problem where an electric pole appears to be damaged outside our building. people are concerned that someone could receive an electric shock. We would appreciate prompt assistance.,electricity,v3_natural_augmentation
The drainage issue appears to involve sewage odor outside our building. Please arrange an inspection.,drainage,v2_original
Please inspect the drain because of sewage leak along the roadside.,drainage,v2_original
"Residents are concerned about rough, pitted or cracked roads in our neighbourhood.",roads,v2_original
The road needs attention because of cave-in near our house.,roads,v2_original
there is a large pothole near the hospital. Please investigate this problem.,roads,v3_natural_augmentation
Residents are reporting manhole overflow near the school. Please arrange an inspection.,drainage,v2_original
The area needs cleaning because of missed recycling - m/g/pl near the school.,garbage,v2_original
There is a water supply issue involving dirty water near the public market. Please send the responsible team to inspect the area.,water_supply,v2_original
"Rough, Pitted or Cracked Roads is causing difficulties for vehicles near the public market. Please take the necessary action.",roads,v2_original
The road has curb defect-metal protruding along the roadside. The problem has been continuing for some time.,roads,v2_original
Lamppost Knocked Down is affecting the area near the junction.,electricity,v2_original
The area is affected by air: other air problem along the roadside.,environment,v2_original
Residents have reported that large amounts of dust are affecting the surrounding area near the hospital. the problem is affecting the surrounding environment. Residents are requesting assistance.,environment,v3_natural_augmentation
Drivers are facing problems because of cave-in near the junction. Residents are requesting assistance.,roads,v2_original
The area needs cleaning because of receptacle violation near the public market. Please resolve this problem as soon as possible.,garbage,v2_original
People living nearby have noticed that a suspected chemical spill has occurred beside the public road. residents are requesting an environmental inspection. Please investigate this problem.,environment,v3_natural_augmentation
"along the main road, chemical fumes are spreading through the area. the problem is affecting the surrounding environment. Please send the appropriate team to inspect this problem.",environment,v3_natural_augmentation
There appears to be slow leak near the hospital. Please resolve this problem as soon as possible.,water_supply,v2_original
"There is an environmental issue involving air: dust, other near the public market.",environment,v2_original
Please inspect the drain because of ponding close to the bus stop.,drainage,v2_original
The community would like to report that rubbish has not been collected for several days near our houses. the area has become very dirty and unpleasant. Please investigate this problem.,garbage,v3_natural_augmentation
thick smoke is spreading through the neighbourhood outside the school. We would appreciate prompt assistance.,environment,v3_natural_augmentation
There appears to be slow leak along the roadside.,water_supply,v2_original
"We have noticed air: odor/fumes, vehicle idling outside our building. The problem has been continuing for some time.",environment,v2_original
Residents are requesting action regarding chemical spill/release in our neighbourhood.,environment,v2_original
People living nearby have noticed that the road has developed a large cave-in beside the public walkway. the road is difficult to use safely at night. Residents are requesting assistance.,roads,v3_natural_augmentation
There is a waste management problem involving bulk-missed recy collection close to the town centre. Please arrange an inspection.,garbage,v2_original
People living nearby have noticed that the storm drain is not clearing rainwater near the railway station. stagnant water is remaining for several days. Please investigate this problem.,drainage,v3_natural_augmentation
Please inspect the electrical issue involving street light out near the junction. The problem has been continuing for some time.,electricity,v2_original
Please investigate the water problem caused by dirty water close to the bus stop. Please arrange an inspection.,water_supply,v2_original
People living nearby have noticed that the road has become extremely uneven at the village entrance. the damage is creating a risk for road users. We would appreciate prompt assistance.,roads,v3_natural_augmentation
"Residents have reported taste/odor, bitter/metallic near the junction. Please take the necessary action.",water_supply,v2_original
Wastewater problems have occurred due to sewer or drain near our house.,drainage,v2_original
the power supply is unstable outside the school. the damaged equipment could become dangerous. Residents would like this problem resolved.,electricity,v3_natural_augmentation
There is pothole near the junction. This is causing inconvenience to the public.,roads,v2_original
Drivers are facing problems because of pothole close to the town centre. Please send the responsible team to inspect the area.,roads,v2_original
Please inspect the environmental issue involving chemical spill/release in the residential area.,environment,v2_original
The drainage issue appears to involve sewage leak in the residential area.,drainage,v2_original
Please inspect the drain because of ponding in our neighbourhood. Please send the responsible team to inspect the area.,drainage,v2_original
The drainage system is affected by culvert blocked/needs cleaning outside our building. This is causing inconvenience to the public.,drainage,v2_original
Please check the water system because of slow leak near our house. Please resolve this problem as soon as possible.,water_supply,v2_original
We are experiencing an electrical problem involving street light out near the hospital.,electricity,v2_original
"This environmental problem involves air: odor/fumes, restaurant in the residential area.",environment,v2_original
We would like to report wear & tear close to the bus stop. This is causing inconvenience to the public.,roads,v2_original
NO LIGHTING is affecting the area close to the bus stop. The problem has been continuing for some time.,electricity,v2_original
Residents are requesting action regarding street cond/dump-out/drop-off outside our building.,garbage,v2_original
There is a water supply issue involving slow leak in our neighbourhood. The problem has been continuing for some time.,water_supply,v2_original
Residents are requesting action regarding receptacle violation near the public market.,garbage,v2_original
There is a waste management problem involving bulk-missed recy collection near the hospital. The problem has been continuing for some time.,garbage,v2_original
Wastewater problems have occurred due to sewage odor along the roadside. This issue needs urgent attention.,drainage,v2_original
Residents have reported low water pressure on the main road. This issue needs urgent attention.,water_supply,v2_original
Residents report that a strong chemical smell is coming from a nearby property close to the local clinic.,environment,v3_natural_augmentation
"close to the bus stop, plastic and household rubbish have been dumped. a strong bad smell is spreading nearby. Please investigate this problem.",garbage,v3_natural_augmentation
Garbage collection is affected by bulk-missed collection near the school.,garbage,v2_original
There is a public complaint because several bags of garbage are lying in the open in our neighbourhood. a strong bad smell is spreading nearby. Please arrange an inspection.,garbage,v3_natural_augmentation
Residents report that plastic and household rubbish have been dumped near the community centre.,garbage,v3_natural_augmentation
Wastewater problems have occurred due to sewer backup along the roadside.,drainage,v2_original
Please investigate the water problem caused by unknown odor/taste in drinking water near the hospital.,water_supply,v2_original
Wastewater problems have occurred due to sewage leak near the hospital. Please send the responsible team to inspect the area.,drainage,v2_original
The area is affected by air: other air problem close to the town centre. Please send the responsible team to inspect the area.,environment,v2_original
"Please check the water system because of cloudy or milky, other close to the town centre. Please arrange an inspection.",water_supply,v2_original
Curb Defect-Metal Protruding is causing difficulties for vehicles in the residential area. The problem has been continuing for some time.,roads,v2_original
Residents report that several bags of garbage are lying in the open near the public market.,garbage,v3_natural_augmentation
Please inspect the electrical issue involving street light out close to the bus stop. Please send the responsible team to inspect the area.,electricity,v2_original
There is a public complaint because the road surface is badly damaged near the public market. traffic is slowing down around the damaged section. Residents would like this problem resolved.,roads,v3_natural_augmentation
Residents are reporting street flooding close to the bus stop.,drainage,v2_original
POWER OUTAGE is affecting the area outside our building.,electricity,v2_original
Please send a technician because of street light out along the roadside. Please take the necessary action.,electricity,v2_original
Please send a technician because of no lighting near the junction. Please arrange an inspection.,electricity,v2_original
"The area is affected by air: odor/fumes, restaurant along the roadside. Please send the responsible team to inspect the area.",environment,v2_original
Please address receptacle violation near the school. This is causing inconvenience to the public.,garbage,v2_original
The water service is affected by leak in the residential area. Please resolve this problem as soon as possible.,water_supply,v2_original
We would like to report that loose stones are covering part of the road in the residential area.,roads,v3_natural_augmentation
"Please inspect the environmental issue involving air: odor/fumes, vehicle idling near the school. We would appreciate assistance with this problem.",environment,v2_original
Residents report that an electrical box has been left open close to the local clinic.,electricity,v3_natural_augmentation
People nearby have complained about air: other air problem along the roadside. Please resolve this problem as soon as possible.,environment,v2_original
Please inspect the electrical issue involving street light out close to the town centre.,electricity,v2_original
Please check the water system because of possible water main break along the roadside. Please investigate this issue.,water_supply,v2_original
floodwater is building up because the drain is blocked close to the local clinic.,drainage,v3_natural_augmentation
Wastewater problems have occurred due to catch basin clogged/flooding near the school.,drainage,v2_original
Please arrange cleaning because of street cond/dump-out/drop-off close to the bus stop. The problem has been continuing for some time.,garbage,v2_original
There is multiple street lights out near the school. The problem has been continuing for some time.,electricity,v2_original
Residents have reported that an oil spill has contaminated the roadside close to the town centre. the smell is affecting residents throughout the area. Residents are requesting assistance.,environment,v3_natural_augmentation
Please investigate the water problem caused by leak in the residential area. This issue needs urgent attention.,water_supply,v2_original
"Please investigate the water problem caused by cloudy or milky, other near the public market.",water_supply,v2_original
the asphalt surface is breaking apart outside the hospital.,roads,v3_natural_augmentation
"near the junction, the supplied water has an unusual taste. people are concerned about the quality of the drinking water.",water_supply,v3_natural_augmentation
Drivers are facing problems because of defective hardware near the hospital.,roads,v2_original
People nearby have complained about asbestos complaint close to the town centre. Please arrange an inspection.,environment,v2_original
"outside our building, household waste has been dumped illegally. a strong bad smell is spreading nearby. Please take the necessary action.",garbage,v3_natural_augmentation
We would like to report that the asphalt surface is breaking apart in the residential area.,roads,v3_natural_augmentation
"Please investigate the water problem caused by cloudy or milky, other in the residential area.",water_supply,v2_original
People living nearby have noticed that an oily substance has been released onto the ground near the playground. children and elderly residents are being exposed. Please send the appropriate team to inspect this problem.,environment,v3_natural_augmentation
"Residents are concerned about oil spill on street, large on the main road. Please resolve this problem as soon as possible.",environment,v2_original
Residents are requesting action regarding loose rubbish close to the bus stop.,garbage,v2_original
People living nearby have noticed that heavy smoke is affecting nearby houses close to the bus stop. the pollution is affecting nearby homes. Please investigate this problem.,environment,v3_natural_augmentation
There is cave-in near the hospital.,roads,v2_original
Residents are requesting action regarding bulk-missed recy collection close to the bus stop.,garbage,v2_original
"in our neighbourhood, stagnant dirty water is collecting in the drain. dirty water is collecting around nearby houses. Please address this issue.",drainage,v3_natural_augmentation
Pothole - Highway is causing difficulties for vehicles near the public market. Please resolve this problem as soon as possible.,roads,v2_original
There is electrical wiring defective/exposed close to the bus stop. This issue needs urgent attention.,electricity,v2_original
There is a public complaint because there has been a power outage in the residential area. the outage is disrupting normal daily activities. We would appreciate prompt assistance.,electricity,v3_natural_augmentation
"There is an environmental issue involving air: smoke, chimney or vent in our neighbourhood.",environment,v2_original
People in the area are affected by electrical wiring defective/exposed near the hospital. Please take the necessary action.,electricity,v2_original
Residents have reported lighting along the roadside. Please arrange an inspection.,electricity,v2_original
a suspected chemical spill has occurred in our neighbourhood.,environment,v3_natural_augmentation
"near the community centre, an electrical wire is hanging dangerously low. the outage is disrupting normal daily activities. Please resolve this issue as soon as possible.",electricity,v3_natural_augmentation
a section of the road has sunk near the community centre.,roads,v3_natural_augmentation
Please investigate the water problem caused by leak near the hospital.,water_supply,v2_original
This environmental problem involves large number of mosquitoes near the junction.,environment,v2_original
The drainage issue appears to involve rain garden flooding near the school. Please arrange an inspection.,drainage,v2_original
"close to the town centre, an oily substance has been released onto the ground.",environment,v3_natural_augmentation
There is a public complaint because only a very small amount of water is reaching the houses along the main road. the issue is causing serious inconvenience to households. Residents would like this problem resolved.,water_supply,v3_natural_augmentation
"near the railway station, there is an abandoned pile of waste.",garbage,v3_natural_augmentation
Residents are concerned about chemical vapors/gases/odors on the main road. Please resolve this problem as soon as possible.,environment,v2_original
Residents are concerned about cave-in along the roadside. This issue needs urgent attention.,roads,v2_original
People in the area are affected by electrical wiring defective/exposed near the hospital.,electricity,v2_original
Please send a technician because of wiring in the residential area.,electricity,v2_original
Cave-in is causing difficulties for vehicles near our house. This issue needs urgent attention.,roads,v2_original
We are experiencing an electrical problem involving power outage on the main road. Please send the responsible team to inspect the area.,electricity,v2_original
The road needs attention because of cave-in close to the town centre. Please send the responsible team to inspect the area.,roads,v2_original
the main water line appears to be leaking beside the public road. families are struggling without a reliable water supply. Residents would like this problem resolved.,water_supply,v3_natural_augmentation
Residents have reported multiple street lights out along the roadside. Please resolve this problem as soon as possible.,electricity,v2_original
The community would like to report that there is a major leak in the water line at the village entrance. the issue is causing serious inconvenience to households. Residents are requesting assistance.,water_supply,v3_natural_augmentation
"near the railway station, there is an abandoned pile of waste. children and pedestrians have to pass close to the rubbish. Please arrange an inspection.",garbage,v3_natural_augmentation
Please check the water system because of damp spot near the public market.,water_supply,v2_original
We need assistance with sewage leak close to the town centre. This is causing inconvenience to the public.,drainage,v2_original
water service has been interrupted in our neighbourhood. families are struggling without a reliable water supply. Please take the necessary action.,water_supply,v3_natural_augmentation
Please resolve the drainage issue involving rain garden flooding along the roadside. Please send the responsible team to inspect the area.,drainage,v2_original
There is an environmental issue involving ventilation on the main road. Please resolve this problem as soon as possible.,environment,v2_original
There is cave-in near the school.,roads,v2_original
The water service is affected by low water pressure near the school. The problem has been continuing for some time.,water_supply,v2_original
Residents are reporting rain garden flooding in our neighbourhood. We would appreciate assistance with this problem.,drainage,v2_original
an oily substance has been released onto the ground beside the public road. the air is becoming difficult to breathe. Please resolve this issue as soon as possible.,environment,v3_natural_augmentation
We would like to report that sparks are coming from an electrical connection close to the local clinic.,electricity,v3_natural_augmentation
Please repair failed street repair in the residential area. Please resolve this problem as soon as possible.,roads,v2_original
People in the area are affected by power outage on the main road. Residents are requesting assistance.,electricity,v2_original
Please inspect the drain because of rain garden flooding in our neighbourhood.,drainage,v2_original
The drainage issue appears to involve street flooding near the public market. The problem has been continuing for some time.,drainage,v2_original
There is a waste management problem involving bulk-missed collection near our house. Please arrange an inspection.,garbage,v2_original
Please resolve the drainage issue involving sewer backup along the roadside. Residents are requesting assistance.,drainage,v2_original
The electrical system needs attention because of wiring close to the bus stop. Please arrange an inspection.,electricity,v2_original
"Residents are concerned about rough, pitted or cracked roads near our house.",roads,v2_original
There is a public complaint because there is a major leak in the water line near our houses. residents need the water service restored. Please investigate this problem.,water_supply,v3_natural_augmentation
Please repair wear & tear in the residential area.,roads,v2_original
We are experiencing possible water main break on the main road. Please resolve this problem as soon as possible.,water_supply,v2_original
several houses have no electricity at the village entrance.,electricity,v3_natural_augmentation
Residents are requesting action regarding receptacle violation close to the bus stop. Please resolve this problem as soon as possible.,garbage,v2_original
"Residents have reported taste/odor, chlorine along the roadside. This is causing inconvenience to the public.",water_supply,v2_original
This environmental problem involves ventilation near the public market. Please send the responsible team to inspect the area.,environment,v2_original
The electrical system needs attention because of street light out along the roadside. Please take the necessary action.,electricity,v2_original
We are experiencing an electrical problem involving power outage outside our building. Residents are requesting assistance.,electricity,v2_original
The community would like to report that discarded waste is blocking part of the walkway along the main road. the situation is becoming worse every day. We would appreciate prompt assistance.,garbage,v3_natural_augmentation
Residents are requesting action regarding bulk-missed recy collection near the hospital. Please send the responsible team to inspect the area.,garbage,v2_original
We would like to report that a nearby activity is causing severe air pollution near the community centre.,environment,v3_natural_augmentation
there has been a power outage near the junction.,electricity,v3_natural_augmentation
Residents are requesting action regarding chemical vapors/gases/odors outside our building. Please arrange an inspection.,environment,v2_original
HEAVY FLOW is affecting the local water supply near the hospital. This is causing inconvenience to the public.,water_supply,v2_original
No Water is affecting the local water supply near the school. Please arrange an inspection.,water_supply,v2_original
Please address missed recycling paper outside our building.,garbage,v2_original
"in our neighbourhood, an electrical box has been left open. the damaged equipment could become dangerous. Please address this issue.",electricity,v3_natural_augmentation
People living nearby have noticed that there is a major leak in the water line outside our building. residents cannot complete their daily household work. Please take the necessary action.,water_supply,v3_natural_augmentation
There is a public complaint because there has been a power outage at the village entrance. the area becomes completely dark at night. Please resolve this issue as soon as possible.,electricity,v3_natural_augmentation
the drainage system is overflowing during rainfall near the public market.,drainage,v3_natural_augmentation
The electrical system needs attention because of lighting close to the bus stop. Please investigate this issue.,electricity,v2_original
There is missed recycling paper close to the town centre.,garbage,v2_original
"beside the public road, an exposed electrical cable is close to the public walkway.",electricity,v3_natural_augmentation
We are experiencing a problem where the local water supply keeps stopping near the junction. the interruption has continued for several hours.,water_supply,v3_natural_augmentation
"There appears to be taste/odor, bitter/metallic near the public market. Residents are requesting assistance.",water_supply,v2_original
The electricity service has a problem with lighting along the roadside.,electricity,v2_original
Please send a technician because of electrical wiring defective/exposed near the school.,electricity,v2_original
Residents have reported that the road has developed a large cave-in near the playground. the damage is creating a risk for road users. Please send the appropriate team to inspect this problem.,roads,v3_natural_augmentation
"Our area is facing taste/odor, chlorine close to the bus stop.",water_supply,v2_original
"at the village entrance, a suspected chemical spill has occurred.",environment,v3_natural_augmentation
chemical fumes are spreading through the area in the residential area. Residents are requesting assistance.,environment,v3_natural_augmentation
Lamppost Wire Exposed is affecting the area outside our building.,electricity,v2_original
"We have noticed air: smoke, vehicular near the junction. Please resolve this problem as soon as possible.",environment,v2_original
the culvert appears to be blocked near the playground. the overflow is creating an unsanitary condition. We would appreciate prompt assistance.,drainage,v3_natural_augmentation
"There is rough, pitted or cracked roads in our neighbourhood.",roads,v2_original
People in the area are affected by wiring near the hospital.,electricity,v2_original
We would like to report curb defect-metal protruding near the junction.,roads,v2_original
Please resolve the drainage issue involving catch basin clogged/flooding near the hospital. Please arrange an inspection.,drainage,v2_original
"There appears to be taste/odor, bitter/metallic in our neighbourhood.",water_supply,v2_original
Please arrange cleaning because of missed collection near the hospital. This issue needs urgent attention.,garbage,v2_original
"in our neighbourhood, there is a dangerous hole in the street. residents are concerned about possible accidents. Residents would like this problem resolved.",roads,v3_natural_augmentation
Please inspect the electrical issue involving street light lamp dim in the residential area. The problem has been continuing for some time.,electricity,v2_original
"Residents are requesting action regarding oil spill on street, small on the main road. Residents are requesting assistance.",environment,v2_original
There is an environmental issue involving chemical odor along the roadside. This issue needs urgent attention.,environment,v2_original
Please resolve the drainage issue involving culvert blocked/needs cleaning near the hospital. Please arrange an inspection.,drainage,v2_original
The road needs attention because of failed street repair near our house.,roads,v2_original
Please check the water system because of hydrant leaking close to the bus stop.,water_supply,v2_original
The electrical system needs attention because of power outage close to the town centre. Please investigate this issue.,electricity,v2_original
Waste has become a problem due to missed collection outside our building.,garbage,v2_original
We are experiencing an electrical problem involving power outage on the main road. Please arrange an inspection.,electricity,v2_original
"near the community centre, residents are experiencing repeated power failures.",electricity,v3_natural_augmentation
Wastewater problems have occurred due to ponding near the hospital.,drainage,v2_original
Pothole is causing difficulties for vehicles outside our building. Please resolve this problem as soon as possible.,roads,v2_original
People in the area are affected by outlet/switch near the school.,electricity,v2_original
Residents report that a section of the road has sunk outside the school.,roads,v3_natural_augmentation
Residents have reported that a suspected chemical spill has occurred near the junction. people are worried about environmental contamination. Please send the appropriate team to inspect this problem.,environment,v3_natural_augmentation
We would like to report that the drainage system is overflowing during rainfall near our houses.,drainage,v3_natural_augmentation
There is a public complaint because rotting garbage has accumulated close to the local clinic. a strong bad smell is spreading nearby. We would appreciate prompt assistance.,garbage,v3_natural_augmentation
People in the area are affected by power outage near the junction. Residents are requesting assistance.,electricity,v2_original
There appears to be dirty water outside our building.,water_supply,v2_original
There is curb defect-metal protruding near the hospital.,roads,v2_original
We are experiencing an electrical problem involving street light out near our house. This is causing inconvenience to the public.,electricity,v2_original
The area needs cleaning because of improper disposal near the hospital. This is causing inconvenience to the public.,garbage,v2_original
