complaint_text,priority
There is a problem where a sewer blockage is creating a strong smell across several nearby properties near our houses. People passing through the area are being affected.,medium
There is a problem where repeated electricity interruptions are affecting many houses along the roadside. The condition has remained unchanged since yesterday.,medium
People in the area are reporting that floodwater has entered houses and is continuing to rise near the public market. Several nearby residents have raised concerns.,high
A single street sign area has minor surface damage on the main road.,low
A local issue has developed where water supply has been unavailable to a neighbourhood since yesterday at the main junction.,medium
A local issue has developed where dense smoke from a nearby facility is causing residents to leave their homes near our houses. The condition becomes worse during busy periods.,high
Sewage is flowing into several homes from an overflowing manhole near the community hall.,high
There is a problem where electrical wires are sparking beside a crowded pedestrian area at the main junction. The issue has been reported by households nearby.,high
Residents have noticed that a water main failure has flooded the entrance to a hospital close to the playground. The condition becomes worse during busy periods.,high
People in the area are reporting that a fallen power cable is lying across a pedestrian path near our houses. The problem has continued despite recent rainfall.,high
People in the area are reporting that a few garbage bags are waiting at the normal collection point near the school. The issue is affecting normal use of the area.,low
The situation involves dense smoke from a nearby facility is causing residents to leave their homes along the roadside.,high
Residents have noticed that there is a small amount of dust near a construction site near the public market.,low
People in the area are reporting that garbage collection has been missed for several days and waste is accumulating close to the bus stop. The issue is affecting normal use of the area.,medium
We have noticed that electrical wires are sparking beside a crowded pedestrian area close to the playground. The problem can be seen clearly from the roadside.,high
People in the area are reporting that a large section of road has collapsed beside a school entrance near the community hall. The condition becomes worse during busy periods.,high
People in the area are reporting that garbage collection has been missed for several days and waste is accumulating on the main road. The issue has been reported by households nearby.,medium
A roadside drain has some leaves and sediment inside it on the main road.,low
There is a problem where one street lamp is dim but still provides some light near the school.,low
Residents have noticed that electrical wires are sparking beside a crowded pedestrian area near the school. The condition becomes worse during busy periods.,high
A local issue has developed where a curb has a small chipped section near our houses. The condition has remained unchanged since yesterday.,low
People in the area are reporting that floodwater has entered houses and is continuing to rise near the hospital.,high
The road surface is damaged in several places and motorcycles are having difficulty passing in our neighbourhood.,medium
There is a problem where a few garbage bags are waiting at the normal collection point in our neighbourhood.,low
We have noticed that one street lamp is dim but still provides some light near the hospital.,low
There is a problem where a water main failure has flooded the entrance to a hospital near the hospital.,high
A roadside drain has some leaves and sediment inside it near the school.,low
Wastewater is overflowing from a drain onto the roadside along the roadside. Several nearby residents have raised concerns.,medium
There is a problem where a chemical liquid has leaked onto a public road beside residential buildings near the public market. The condition has remained unchanged since yesterday.,high
We have noticed that smoke from a nearby workshop is entering nearby houses along the roadside. Residents noticed the problem this morning.,medium
We have noticed that a deep hole has opened across most of the traffic lane near a blind bend near our houses.,high
People in the area are reporting that a small crack has appeared along the edge of a side road near the school.,low
A fallen power cable is lying across a pedestrian path near the town centre. The issue has been reported by households nearby.,high
We have noticed that a drain cover is slightly loose but still in place near the community hall. The problem can be seen clearly from the roadside.,low
Residents have noticed that a curb has a small chipped section near the town centre. The issue is affecting normal use of the area.,low
People in the area are reporting that a section of road has sunk and vehicles must drive around it near the community hall.,medium
People in the area are reporting that one lamp flickers occasionally during the evening in our neighbourhood. People passing through the area are being affected.,low
There is a problem where floodwater has entered houses and is continuing to rise near the community hall.,high
A small patch of the road surface has become uneven close to the playground. The problem can be seen clearly from the roadside.,low
We have noticed that one street lamp is dim but still provides some light in our neighbourhood.,low
Several street lights along one road are not working near our houses. The condition has remained unchanged since yesterday.,medium
People in the area are reporting that water supply has been unavailable to a neighbourhood since yesterday close to the bus stop.,medium
There is a problem where a minor water leak is dripping from a public pipe along the roadside. The issue has been reported by households nearby.,low
A shallow puddle forms after light rain in our neighbourhood.,low
Residents have noticed that wastewater is overflowing from a drain onto the roadside along the roadside. The problem can be seen clearly from the roadside.,medium
There is a problem where tap water has a slight unusual smell but remains available close to the bus stop.,low
The situation involves a roadside drain has some leaves and sediment inside it in our neighbourhood. The issue is affecting normal use of the area.,low
The situation involves several street lights along one road are not working close to the bus stop. The issue has been reported by households nearby.,medium
Residents have noticed that a major water pipe has burst and water is entering nearby houses in our neighbourhood.,high
A deep hole has opened across most of the traffic lane near a blind bend near the town centre.,high
Water pressure is too low for many houses in the area close to the bus stop. The condition has remained unchanged since yesterday.,medium
Floodwater has entered houses and is continuing to rise at the main junction. The problem has continued despite recent rainfall.,high
The situation involves electrical wires are sparking beside a crowded pedestrian area near the town centre.,high
There is a problem where water pressure is too low for many houses in the area near the town centre.,medium
People in the area are reporting that a water pipe is leaking continuously and a large amount of water is being wasted near the school.,medium
There is a problem where a major water pipe has burst and water is entering nearby houses near the hospital.,high
A local issue has developed where a curb has a small chipped section on the main road.,low
There is a problem where floodwater has entered houses and is continuing to rise close to the bus stop.,high
Water supply has been unavailable to a neighbourhood since yesterday near the town centre.,medium
Residents have noticed that a large section of road has collapsed beside a school entrance near the school. The issue is affecting normal use of the area.,high
We have noticed that several potholes are making vehicles slow down on the main road near the community hall. The issue is affecting normal use of the area.,medium
The situation involves several street lights along one road are not working near the town centre.,medium
The situation involves an exposed electrical cable is hanging low where pedestrians can reach it on the main road.,high
A large public waste bin is overflowing onto the pavement on the main road. Residents noticed the problem this morning.,medium
We have noticed that a small patch of the road surface has become uneven near the school. People passing through the area are being affected.,low
A local issue has developed where floodwater has entered houses and is continuing to rise near the town centre.,high
People in the area are reporting that one street lamp is dim but still provides some light along the roadside.,low
Wastewater is overflowing from a drain onto the roadside near the community hall. The problem has continued despite recent rainfall.,medium
Residents have noticed that a small amount of litter is scattered near a bus stop near the community hall.,low
People in the area are reporting that thick smoke is causing breathing difficulty among nearby residents in our neighbourhood.,high
A local issue has developed where sewage is flowing into several homes from an overflowing manhole near the school.,high
We have noticed that a drain cover is slightly loose but still in place in our neighbourhood. The condition becomes worse during busy periods.,low
We have noticed that repeated electricity interruptions are affecting many houses near the public market. The condition has remained unchanged since yesterday.,medium
People in the area are reporting that a large section of road has collapsed beside a school entrance near the community hall. The issue is affecting normal use of the area.,high
There is a problem where a few garbage bags are waiting at the normal collection point close to the bus stop. Several nearby residents have raised concerns.,low
The situation involves a section of road has sunk and vehicles must drive around it close to the playground. The problem can be seen clearly from the roadside.,medium
People in the area are reporting that a small amount of litter is scattered near a bus stop near the public market. The problem has continued despite recent rainfall.,low
Residents have noticed that a major water pipe has burst and water is entering nearby houses near the school.,high
Residents have noticed that a few garbage bags are waiting at the normal collection point on the main road. People passing through the area are being affected.,low
A local issue has developed where a shallow puddle forms after light rain close to the bus stop. The problem has continued despite recent rainfall.,low
People in the area are reporting that a curb has a small chipped section on the main road.,low
A few garbage bags are waiting at the normal collection point along the roadside.,low
People in the area are reporting that thick smoke is causing breathing difficulty among nearby residents near the school. People passing through the area are being affected.,high
People in the area are reporting that a water main failure has flooded the entrance to a hospital near the town centre.,high
A major water pipe has burst and water is entering nearby houses near our houses.,high
We have noticed that a minor water leak is dripping from a public pipe near the town centre.,low
There is a problem where tap water has a slight unusual smell but remains available near the public market. The issue has been reported by households nearby.,low
Residents have noticed that a sewer blockage is creating a strong smell across several nearby properties close to the playground. The problem can be seen clearly from the roadside.,medium
People in the area are reporting that smoke from a nearby workshop is entering nearby houses in our neighbourhood. The issue is affecting normal use of the area.,medium
We have noticed that one street lamp is dim but still provides some light near the school. People passing through the area are being affected.,low
There is a problem where garbage collection has been missed for several days and waste is accumulating near the town centre. The problem can be seen clearly from the roadside.,medium
A local issue has developed where thick smoke is causing breathing difficulty among nearby residents in our neighbourhood. Residents noticed the problem this morning.,high
A drain cover is slightly loose but still in place on the main road.,low
Residents have noticed that a minor water leak is dripping from a public pipe near our houses.,low
We have noticed that a chemical liquid has leaked onto a public road beside residential buildings near the hospital. Several nearby residents have raised concerns.,high
People in the area are reporting that a large public waste bin is overflowing onto the pavement in our neighbourhood. Residents noticed the problem this morning.,medium
Residents have noticed that an exposed electrical cable is hanging low where pedestrians can reach it near the hospital. People in the area have reported the same issue.,high
Residents have noticed that a public bin is partly full but not overflowing near the community hall. People passing through the area are being affected.,low
We have noticed that a single street sign area has minor surface damage along the roadside. The condition has remained unchanged since yesterday.,low
A public bin is partly full but not overflowing near the town centre. People in the area have reported the same issue.,low
Residents have noticed that a water pipe is leaking continuously and a large amount of water is being wasted near the public market.,medium
We have noticed that a few garbage bags are waiting at the normal collection point at the main junction. The problem can be seen clearly from the roadside.,low
We have noticed that there is a small amount of dust near a construction site near the community hall.,low
We have noticed that a public bin is partly full but not overflowing near our houses. The condition becomes worse during busy periods.,low
There is a problem where floodwater has entered houses and is continuing to rise near the public market.,high
The situation involves a water main failure has flooded the entrance to a hospital on the main road.,high
People in the area are reporting that one lamp flickers occasionally during the evening near our houses. The issue is affecting normal use of the area.,low
There is a problem where garbage collection has been missed for several days and waste is accumulating near our houses.,medium
There is a problem where a chemical liquid has leaked onto a public road beside residential buildings near the hospital. The condition has remained unchanged since yesterday.,high
Residents have noticed that water supply has been unavailable to a neighbourhood since yesterday along the roadside. The issue is affecting normal use of the area.,medium
The situation involves a roadside drain has some leaves and sediment inside it close to the playground.,low
The situation involves a sewer blockage is creating a strong smell across several nearby properties near the hospital.,medium
Residents have noticed that a chemical liquid has leaked onto a public road beside residential buildings near the school. The issue is affecting normal use of the area.,high
People in the area are reporting that a damaged electrical pole is leaning over a busy road close to the playground. The problem has continued despite recent rainfall.,high
A local issue has developed where a major water pipe has burst and water is entering nearby houses near our houses.,high
Residents have noticed that the road surface is damaged in several places and motorcycles are having difficulty passing in our neighbourhood. The problem can be seen clearly from the roadside.,medium
Water pressure is too low for many houses in the area near the public market. The condition becomes worse during busy periods.,medium
A local issue has developed where a roadside drain has some leaves and sediment inside it along the roadside. The condition has remained unchanged since yesterday.,low
A local issue has developed where a large section of road has collapsed beside a school entrance near the community hall.,high
We have noticed that there is a small amount of dust near a construction site near the hospital. The condition becomes worse during busy periods.,low
A local issue has developed where several street lights along one road are not working near the school. The problem can be seen clearly from the roadside.,medium
There is a problem where several street lights along one road are not working on the main road. Several nearby residents have raised concerns.,medium
A local issue has developed where a small amount of litter is scattered near a bus stop along the roadside. Residents noticed the problem this morning.,low
A roadside drain has some leaves and sediment inside it near the community hall. The condition has remained unchanged since yesterday.,low
There is a problem where tap water has a slight unusual smell but remains available along the roadside. Residents noticed the problem this morning.,low
There is a problem where several potholes are making vehicles slow down on the main road near the school. Residents noticed the problem this morning.,medium
We have noticed that water supply has been unavailable to a neighbourhood since yesterday near the school.,medium
The situation involves several potholes are making vehicles slow down on the main road near the school. The issue is affecting normal use of the area.,medium
We have noticed that tap water has a slight unusual smell but remains available near the community hall. The condition becomes worse during busy periods.,low
The situation involves water supply has been unavailable to a neighbourhood since yesterday near our houses. The issue has been reported by households nearby.,medium
Residents have noticed that a major water pipe has burst and water is entering nearby houses along the roadside.,high
People in the area are reporting that a major water pipe has burst and water is entering nearby houses in our neighbourhood. People passing through the area are being affected.,high
A large section of road has collapsed beside a school entrance on the main road.,high
There is a problem where a small amount of litter is scattered near a bus stop near the town centre. The issue is affecting normal use of the area.,low
We have noticed that a deep hole has opened across most of the traffic lane near a blind bend near the public market.,high
We have noticed that construction dust is affecting nearby shops and homes throughout the day near our houses. The problem has continued despite recent rainfall.,medium
A local issue has developed where the road surface is damaged in several places and motorcycles are having difficulty passing near the hospital.,medium
A local issue has developed where a fallen power cable is lying across a pedestrian path at the main junction. The problem can be seen clearly from the roadside.,high
A local issue has developed where water pressure is too low for many houses in the area near our houses.,medium
There is a problem where a large public waste bin is overflowing onto the pavement near the public market. The issue has been reported by households nearby.,medium
Residents have noticed that a single street sign area has minor surface damage at the main junction. The condition becomes worse during busy periods.,low
There is a problem where there is a small amount of dust near a construction site close to the playground.,low
We have noticed that part of a roadside retaining wall has collapsed onto the traffic lane on the main road. The condition has remained unchanged since yesterday.,high
A local issue has developed where a single street sign area has minor surface damage near the community hall. Residents noticed the problem this morning.,low
A local issue has developed where repeated electricity interruptions are affecting many houses on the main road. The problem can be seen clearly from the roadside.,medium
A local issue has developed where a water pipe is leaking continuously and a large amount of water is being wasted along the roadside.,medium
We have noticed that electrical wires are sparking beside a crowded pedestrian area near the public market.,high
Sewage is spreading across a school access road at the main junction.,high
A local issue has developed where a single street sign area has minor surface damage near the hospital.,low
A section of road has sunk and vehicles must drive around it near the public market.,medium
People in the area are reporting that construction dust is affecting nearby shops and homes throughout the day near the school.,medium
One street lamp is dim but still provides some light on the main road. The issue has been reported by households nearby.,low
A shallow puddle forms after light rain near the public market.,low
The situation involves a chemical liquid has leaked onto a public road beside residential buildings along the roadside. The problem has continued despite recent rainfall.,high
The situation involves an exposed electrical cable is hanging low where pedestrians can reach it along the roadside. People passing through the area are being affected.,high
There is a problem where sewage is flowing into several homes from an overflowing manhole near the public market.,high
There is a problem where thick smoke is causing breathing difficulty among nearby residents near the hospital. The condition becomes worse during busy periods.,high
There is a problem where a curb has a small chipped section close to the playground. People in the area have reported the same issue.,low
The situation involves sewage is flowing into several homes from an overflowing manhole near the public market.,high
A local issue has developed where a roadside drain has some leaves and sediment inside it near the school. The issue is affecting normal use of the area.,low
A local issue has developed where a fallen power cable is lying across a pedestrian path in our neighbourhood. The condition has remained unchanged since yesterday.,high
There is a problem where wastewater is overflowing from a drain onto the roadside close to the playground. The issue is affecting normal use of the area.,medium
People in the area are reporting that a water pipe is leaking continuously and a large amount of water is being wasted near our houses. The issue has been reported by households nearby.,medium
People in the area are reporting that a water pipe is leaking continuously and a large amount of water is being wasted along the roadside.,medium
The road surface is damaged in several places and motorcycles are having difficulty passing close to the playground. Several nearby residents have raised concerns.,medium
Electrical wires are sparking beside a crowded pedestrian area near the school. The issue is affecting normal use of the area.,high
Residents have noticed that a few garbage bags are waiting at the normal collection point in our neighbourhood. Residents noticed the problem this morning.,low
Residents have noticed that several street lights along one road are not working close to the bus stop.,medium
People in the area are reporting that a large section of road has collapsed beside a school entrance near the school. The issue is affecting normal use of the area.,high
There is a problem where a small amount of litter is scattered near a bus stop close to the playground. The problem can be seen clearly from the roadside.,low
There is a problem where a roadside drain has some leaves and sediment inside it close to the bus stop. The problem can be seen clearly from the roadside.,low
People in the area are reporting that a water pipe is leaking continuously and a large amount of water is being wasted near our houses.,medium
Residents have noticed that garbage collection has been missed for several days and waste is accumulating near the town centre. The condition becomes worse during busy periods.,medium
There is a problem where a shallow puddle forms after light rain along the roadside.,low
Residents have noticed that part of a roadside retaining wall has collapsed onto the traffic lane along the roadside. Residents noticed the problem this morning.,high
There is a problem where part of a roadside retaining wall has collapsed onto the traffic lane near the public market.,high
The situation involves an exposed electrical cable is hanging low where pedestrians can reach it near the town centre. People in the area have reported the same issue.,high
A major water pipe has burst and water is entering nearby houses near the school. Several nearby residents have raised concerns.,high
We have noticed that garbage collection has been missed for several days and waste is accumulating at the main junction.,medium
People in the area are reporting that sewage is spreading across a school access road near the public market. The condition has remained unchanged since yesterday.,high
We have noticed that a shallow puddle forms after light rain near the community hall.,low
We have noticed that a large section of road has collapsed beside a school entrance near our houses. Residents noticed the problem this morning.,high
Residents have noticed that one lamp flickers occasionally during the evening at the main junction.,low
A water main failure has flooded the entrance to a hospital along the roadside.,high
The situation involves floodwater has entered houses and is continuing to rise near the community hall. The condition has remained unchanged since yesterday.,high
Residents have noticed that a small amount of litter is scattered near a bus stop near our houses.,low
A small amount of litter is scattered near a bus stop near the public market.,low
The situation involves thick smoke is causing breathing difficulty among nearby residents near the town centre.,high
We have noticed that floodwater has entered houses and is continuing to rise near the school. People in the area have reported the same issue.,high
There is a problem where a curb has a small chipped section along the roadside.,low
Residents have noticed that smoke from a nearby workshop is entering nearby houses near our houses. People passing through the area are being affected.,medium
We have noticed that repeated electricity interruptions are affecting many houses in our neighbourhood. The issue is affecting normal use of the area.,medium
There is a problem where an exposed electrical cable is hanging low where pedestrians can reach it on the main road.,high
A local issue has developed where a section of road has sunk and vehicles must drive around it near the hospital. The condition becomes worse during busy periods.,medium
A small crack has appeared along the edge of a side road close to the bus stop.,low
There is a problem where sewage is flowing into several homes from an overflowing manhole near the public market. The issue has been reported by households nearby.,high
Residents have noticed that a shallow puddle forms after light rain along the roadside.,low
There is a problem where a damaged electrical pole is leaning over a busy road near the school. The problem can be seen clearly from the roadside.,high
Garbage collection has been missed for several days and waste is accumulating on the main road. The issue is affecting normal use of the area.,medium
There is a problem where one lamp flickers occasionally during the evening on the main road.,low
People in the area are reporting that sewage is spreading across a school access road near our houses.,high
We have noticed that garbage collection has been missed for several days and waste is accumulating close to the bus stop. The issue has been reported by households nearby.,medium
The situation involves sewage is flowing into several homes from an overflowing manhole near our houses.,high
There is a problem where a chemical liquid has leaked onto a public road beside residential buildings near our houses. People passing through the area are being affected.,high
There is a problem where sewage is flowing into several homes from an overflowing manhole on the main road.,high
The situation involves a sewer blockage is creating a strong smell across several nearby properties near the school. The condition has remained unchanged since yesterday.,medium
A local issue has developed where a small crack has appeared along the edge of a side road close to the playground.,low
Residents have noticed that thick smoke is causing breathing difficulty among nearby residents along the roadside. Several nearby residents have raised concerns.,high
Residents have noticed that smoke from a nearby workshop is entering nearby houses at the main junction.,medium
There is a problem where repeated electricity interruptions are affecting many houses near the community hall. The issue is affecting normal use of the area.,medium
We have noticed that a large public waste bin is overflowing onto the pavement close to the playground.,medium
A local issue has developed where several potholes are making vehicles slow down on the main road in our neighbourhood. The problem has continued despite recent rainfall.,medium
There is a problem where thick smoke is causing breathing difficulty among nearby residents near our houses.,high
Residents have noticed that thick smoke is causing breathing difficulty among nearby residents near our houses. The issue is affecting normal use of the area.,high
Residents have noticed that a roadside drain is blocked and rainwater is collecting across part of the road near the school. People in the area have reported the same issue.,medium
A local issue has developed where a water pipe is leaking continuously and a large amount of water is being wasted on the main road.,medium
A local issue has developed where a major water pipe has burst and water is entering nearby houses close to the playground. The condition becomes worse during busy periods.,high
The situation involves electrical wires are sparking beside a crowded pedestrian area near the public market. The problem can be seen clearly from the roadside.,high
Floodwater has entered houses and is continuing to rise at the main junction. The issue has been reported by households nearby.,high
A local issue has developed where sewage is spreading across a school access road at the main junction. The issue is affecting normal use of the area.,high
Residents have noticed that smoke from a nearby workshop is entering nearby houses near the hospital.,medium
The situation involves a sewer blockage is creating a strong smell across several nearby properties near the hospital. People passing through the area are being affected.,medium
There is a problem where a drain cover is slightly loose but still in place at the main junction. The problem has continued despite recent rainfall.,low
People in the area are reporting that repeated electricity interruptions are affecting many houses along the roadside. The problem has continued despite recent rainfall.,medium
One lamp flickers occasionally during the evening near the school. Several nearby residents have raised concerns.,low
The situation involves a water main failure has flooded the entrance to a hospital near the community hall. The issue has been reported by households nearby.,high
Residents have noticed that one street lamp is dim but still provides some light near the hospital.,low
A damaged electrical pole is leaning over a busy road at the main junction. The condition becomes worse during busy periods.,high
People in the area are reporting that one street lamp is dim but still provides some light along the roadside. The issue has been reported by households nearby.,low
A few garbage bags are waiting at the normal collection point in our neighbourhood.,low
The situation involves a drain cover is slightly loose but still in place near the hospital.,low
Residents have noticed that a fallen power cable is lying across a pedestrian path close to the bus stop. People passing through the area are being affected.,high
Residents have noticed that a water pipe is leaking continuously and a large amount of water is being wasted near the hospital. People in the area have reported the same issue.,medium
People in the area are reporting that a section of road has sunk and vehicles must drive around it near the hospital.,medium
People in the area are reporting that a curb has a small chipped section near the public market.,low
There is a problem where a sewer blockage is creating a strong smell across several nearby properties at the main junction.,medium
The situation involves a fallen power cable is lying across a pedestrian path near our houses. The problem can be seen clearly from the roadside.,high
There is a problem where repeated electricity interruptions are affecting many houses on the main road. The problem can be seen clearly from the roadside.,medium
People in the area are reporting that a large section of road has collapsed beside a school entrance close to the playground. Residents noticed the problem this morning.,high
There is a problem where there is a small amount of dust near a construction site near the school.,low
Tap water has a slight unusual smell but remains available in our neighbourhood. The condition has remained unchanged since yesterday.,low
Residents have noticed that construction dust is affecting nearby shops and homes throughout the day close to the bus stop.,medium
We have noticed that a sewer blockage is creating a strong smell across several nearby properties in our neighbourhood. The problem has continued despite recent rainfall.,medium
We have noticed that several potholes are making vehicles slow down on the main road at the main junction. The condition has remained unchanged since yesterday.,medium
A local issue has developed where an exposed electrical cable is hanging low where pedestrians can reach it on the main road.,high
A small amount of litter is scattered near a bus stop on the main road. The problem can be seen clearly from the roadside.,low
A section of road has sunk and vehicles must drive around it near our houses.,medium
People in the area are reporting that repeated electricity interruptions are affecting many houses close to the playground.,medium
A small amount of litter is scattered near a bus stop close to the playground.,low
Residents have noticed that several potholes are making vehicles slow down on the main road close to the playground. The condition has remained unchanged since yesterday.,medium
People in the area are reporting that a major water pipe has burst and water is entering nearby houses near the public market.,high
The situation involves one lamp flickers occasionally during the evening near our houses.,low
Residents have noticed that a deep hole has opened across most of the traffic lane near a blind bend near the hospital.,high
A local issue has developed where wastewater is overflowing from a drain onto the roadside near the school.,medium
Residents have noticed that a small crack has appeared along the edge of a side road close to the bus stop. People passing through the area are being affected.,low
A local issue has developed where a damaged electrical pole is leaning over a busy road near the community hall. Several nearby residents have raised concerns.,high
Garbage collection has been missed for several days and waste is accumulating near the public market.,medium
People in the area are reporting that floodwater has entered houses and is continuing to rise near our houses. The issue is affecting normal use of the area.,high
People in the area are reporting that a roadside drain has some leaves and sediment inside it close to the bus stop. Residents noticed the problem this morning.,low
A shallow puddle forms after light rain near the school. People in the area have reported the same issue.,low
A sewer blockage is creating a strong smell across several nearby properties at the main junction. Residents noticed the problem this morning.,medium
Dense smoke from a nearby facility is causing residents to leave their homes in our neighbourhood. The condition becomes worse during busy periods.,high
There is a problem where one street lamp is dim but still provides some light near the town centre. The condition becomes worse during busy periods.,low
The situation involves repeated electricity interruptions are affecting many houses near the hospital.,medium
People in the area are reporting that a curb has a small chipped section near the community hall. The issue is affecting normal use of the area.,low
A local issue has developed where a large public waste bin is overflowing onto the pavement on the main road.,medium
A chemical liquid has leaked onto a public road beside residential buildings in our neighbourhood. The issue is affecting normal use of the area.,high
People in the area are reporting that a small amount of litter is scattered near a bus stop near the community hall. Residents noticed the problem this morning.,low
Residents have noticed that a large public waste bin is overflowing onto the pavement in our neighbourhood.,medium
We have noticed that thick smoke is causing breathing difficulty among nearby residents near our houses. The issue is affecting normal use of the area.,high
There is a problem where a section of road has sunk and vehicles must drive around it in our neighbourhood.,medium
The situation involves a few garbage bags are waiting at the normal collection point in our neighbourhood. People in the area have reported the same issue.,low
There is a problem where part of a roadside retaining wall has collapsed onto the traffic lane close to the playground.,high
A local issue has developed where a public bin is partly full but not overflowing near the public market.,low
We have noticed that a sewer blockage is creating a strong smell across several nearby properties near the community hall. The problem has continued despite recent rainfall.,medium
Residents have noticed that several potholes are making vehicles slow down on the main road at the main junction.,medium
Residents have noticed that a minor water leak is dripping from a public pipe at the main junction. Several nearby residents have raised concerns.,low
There is a problem where a damaged electrical pole is leaning over a busy road near the community hall. People passing through the area are being affected.,high
There is a problem where a public bin is partly full but not overflowing near the school.,low
The situation involves a small patch of the road surface has become uneven along the roadside. The condition becomes worse during busy periods.,low
Thick smoke is causing breathing difficulty among nearby residents close to the playground. The condition has remained unchanged since yesterday.,high
One street lamp is dim but still provides some light near the school. People passing through the area are being affected.,low
People in the area are reporting that water supply has been unavailable to a neighbourhood since yesterday along the roadside. The issue is affecting normal use of the area.,medium
Residents have noticed that dense smoke from a nearby facility is causing residents to leave their homes near the hospital. Several nearby residents have raised concerns.,high
The situation involves a small amount of litter is scattered near a bus stop near the hospital. The problem can be seen clearly from the roadside.,low
Thick smoke is causing breathing difficulty among nearby residents on the main road.,high
Residents have noticed that a major water pipe has burst and water is entering nearby houses close to the bus stop. The issue has been reported by households nearby.,high
People in the area are reporting that a roadside drain has some leaves and sediment inside it along the roadside.,low
The situation involves a major water pipe has burst and water is entering nearby houses close to the bus stop.,high
The situation involves an exposed electrical cable is hanging low where pedestrians can reach it near the school. The problem can be seen clearly from the roadside.,high
The situation involves sewage is spreading across a school access road at the main junction. The issue is affecting normal use of the area.,high
People in the area are reporting that dense smoke from a nearby facility is causing residents to leave their homes at the main junction. The issue is affecting normal use of the area.,high
Residents have noticed that construction dust is affecting nearby shops and homes throughout the day along the roadside. The problem has continued despite recent rainfall.,medium
The situation involves a minor water leak is dripping from a public pipe on the main road.,low
The situation involves sewage is flowing into several homes from an overflowing manhole near the community hall.,high
The situation involves a large public waste bin is overflowing onto the pavement near the public market. Several nearby residents have raised concerns.,medium
There is a problem where a drain cover is slightly loose but still in place at the main junction. The problem can be seen clearly from the roadside.,low
A local issue has developed where a curb has a small chipped section at the main junction.,low
There is a problem where water supply has been unavailable to a neighbourhood since yesterday along the roadside.,medium
We have noticed that dense smoke from a nearby facility is causing residents to leave their homes near the school. The problem can be seen clearly from the roadside.,high
We have noticed that a few garbage bags are waiting at the normal collection point near the school.,low
We have noticed that a roadside drain has some leaves and sediment inside it along the roadside. Residents noticed the problem this morning.,low
We have noticed that a single street sign area has minor surface damage in our neighbourhood.,low
Several potholes are making vehicles slow down on the main road near the hospital. The condition becomes worse during busy periods.,medium
The situation involves a water main failure has flooded the entrance to a hospital near the town centre.,high
The situation involves a public bin is partly full but not overflowing in our neighbourhood. People passing through the area are being affected.,low
The situation involves smoke from a nearby workshop is entering nearby houses near the town centre.,medium
A local issue has developed where a small crack has appeared along the edge of a side road near the school.,low
The situation involves electrical wires are sparking beside a crowded pedestrian area near the public market.,high
A local issue has developed where sewage is flowing into several homes from an overflowing manhole at the main junction. People in the area have reported the same issue.,high
People in the area are reporting that a deep hole has opened across most of the traffic lane near a blind bend close to the playground.,high
Construction dust is affecting nearby shops and homes throughout the day near the town centre. The condition has remained unchanged since yesterday.,medium
There is a problem where part of a roadside retaining wall has collapsed onto the traffic lane on the main road.,high
We have noticed that one lamp flickers occasionally during the evening near the public market. People in the area have reported the same issue.,low
People in the area are reporting that a curb has a small chipped section near the hospital. The condition has remained unchanged since yesterday.,low
People in the area are reporting that a few garbage bags are waiting at the normal collection point close to the bus stop. People in the area have reported the same issue.,low
The situation involves water pressure is too low for many houses in the area near the hospital. The issue is affecting normal use of the area.,medium
Residents have noticed that wastewater is overflowing from a drain onto the roadside close to the playground. Residents noticed the problem this morning.,medium
We have noticed that sewage is flowing into several homes from an overflowing manhole near the hospital.,high
A local issue has developed where water pressure is too low for many houses in the area near the hospital. The problem can be seen clearly from the roadside.,medium
A damaged electrical pole is leaning over a busy road near our houses.,high
We have noticed that sewage is spreading across a school access road near the town centre. The condition becomes worse during busy periods.,high
The situation involves a small patch of the road surface has become uneven in our neighbourhood.,low
The situation involves an exposed electrical cable is hanging low where pedestrians can reach it near our houses. People passing through the area are being affected.,high
Residents have noticed that wastewater is overflowing from a drain onto the roadside near our houses. People passing through the area are being affected.,medium
