complaint_text,priority,source
Residents have noticed that floodwater has entered houses and is continuing to rise along the roadside.,high,v2_original
The community would like to report that a deep hole has opened across most of the traffic lane near the junction. the situation presents an immediate danger to the public. Please take the necessary action.,high,v3_targeted_augmentation
Residents have noticed that a fallen power cable is lying across a pedestrian path near the school. Residents noticed the problem this morning.,high,v2_original
We have noticed that a roadside drain is blocked and rainwater is collecting across part of the road at the main junction. The condition has remained unchanged since yesterday.,medium,v2_original
A deep hole has opened across most of the traffic lane near a blind bend near the town centre.,high,v2_original
several street lights along the road are not working near our houses. residents are requesting prompt attention. Please arrange an inspection.,medium,v3_targeted_augmentation
People in the area are reporting that the road surface is damaged in several places and motorcycles are having difficulty passing near the town centre. The problem has continued despite recent rainfall.,medium,v2_original
Residents have noticed that electrical wires are sparking beside a crowded pedestrian area near the school.,high,v2_original
There is a public complaint because a fallen lamp post is blocking part of the road with electrical wires attached outside our building. people are being exposed to a serious safety hazard. We would appreciate assistance with this problem.,high,v3_targeted_augmentation
A local issue has developed where one lamp flickers occasionally during the evening at the main junction. The condition becomes worse during busy periods.,low,v2_original
There is a problem where a damaged electrical pole is leaning over a busy road near the hospital. Residents noticed the problem this morning.,high,v2_original
Residents have noticed that several potholes are making vehicles slow down on the main road at the main junction. The issue has been reported by households nearby.,medium,v2_original
We are experiencing a situation where floodwater is rising quickly around homes and residents cannot leave safely in our neighbourhood. the condition poses a direct risk to life and safety. Please send the responsible team.,high,v3_targeted_augmentation
The situation involves a small patch of the road surface has become uneven on the main road.,low,v2_original
We are experiencing a situation where a minor water leak is dripping slowly from a public pipe near the school. the condition should be checked before it becomes worse. Please send the responsible team.,low,v3_targeted_augmentation
A local issue has developed where a few garbage bags are waiting at the normal collection point near the community hall.,low,v2_original
People in the area are reporting that sewage is spreading across a school access road near the public market. The condition has remained unchanged since yesterday.,high,v2_original
A roadside drain has some leaves and sediment inside it on the main road.,low,v2_original
The situation involves floodwater has entered houses and is continuing to rise near the public market. People passing through the area are being affected.,high,v2_original
There is a problem where dense smoke from a nearby facility is causing residents to leave their homes close to the playground.,high,v2_original
The situation involves a small crack has appeared along the edge of a side road near the community hall.,low,v2_original
We have noticed that a shallow puddle forms after light rain close to the playground.,low,v2_original
floodwater is rising quickly around homes and residents cannot leave safely near the school. the problem could cause a major accident. Please arrange an inspection.,high,v3_targeted_augmentation
Residents have reported that a major road section has collapsed and vehicles are approaching the damaged area near our houses. the condition poses a direct risk to life and safety.,high,v3_targeted_augmentation
There is a problem where a few garbage bags are waiting at the normal collection point in our neighbourhood.,low,v2_original
Residents have noticed that a large section of road has collapsed beside a school entrance near the public market.,high,v2_original
One street lamp is dim but still provides some light near the public market. The problem can be seen clearly from the roadside.,low,v2_original
There is a problem where an exposed electrical cable is hanging low where pedestrians can reach it near the public market.,high,v2_original
We are experiencing a situation where a drainage outlet is partially blocked and dirty water reaches the walkway near our houses. the area can still be used but with difficulty.,medium,v3_targeted_augmentation
The community would like to report that a minor crack is visible in the pavement near the playground. the issue is causing only a minor inconvenience. We would appreciate assistance with this problem.,low,v3_targeted_augmentation
"near our houses, dense smoke is causing breathing difficulty among nearby residents. residents may need emergency assistance. We would appreciate assistance with this problem.",high,v3_targeted_augmentation
People living nearby have noticed that several street lights along the road are not working beside the public road. residents are requesting prompt attention. Please send the responsible team.,medium,v3_targeted_augmentation
Residents have noticed that a water main failure has flooded the entrance to a hospital near the school. People passing through the area are being affected.,high,v2_original
The situation involves several potholes are making vehicles slow down on the main road near the school. The issue is affecting normal use of the area.,medium,v2_original
A local issue has developed where sewage is spreading across a school access road on the main road.,high,v2_original
The road surface is damaged in several places and motorcycles are having difficulty passing in our neighbourhood. People passing through the area are being affected.,medium,v2_original
A large public waste bin is overflowing onto the pavement close to the playground. Several nearby residents have raised concerns.,medium,v2_original
There is a public complaint because floodwater is rising quickly around homes and residents cannot leave safely near the community centre. public access to the area is unsafe. Residents are requesting assistance.,high,v3_targeted_augmentation
We would like to report that a sewer blockage is producing a strong smell across nearby properties near the hospital.,medium,v3_targeted_augmentation
A local issue has developed where water pressure is too low for many houses in the area near the public market. Several nearby residents have raised concerns.,medium,v2_original
"near the community centre, electrical wires are sparking beside a crowded public area. someone could be seriously injured if the area is not secured immediately. Residents are requesting assistance.",high,v3_targeted_augmentation
Residents have noticed that part of a roadside retaining wall has collapsed onto the traffic lane at the main junction. People in the area have reported the same issue.,high,v2_original
The situation involves a small amount of litter is scattered near a bus stop near the hospital. The issue has been reported by households nearby.,low,v2_original
There is a problem where a large section of road has collapsed beside a school entrance near the school.,high,v2_original
a drainage outlet is partially blocked and dirty water reaches the walkway near the hospital. the situation becomes worse during rainfall. The relevant department should investigate the problem.,medium,v3_targeted_augmentation
Residents have noticed that a drain cover is slightly loose but still in place near the school.,low,v2_original
People in the area are reporting that electrical wires are sparking beside a crowded pedestrian area close to the playground. The problem can be seen clearly from the roadside.,high,v2_original
We have noticed that a minor water leak is dripping from a public pipe near the school.,low,v2_original
We have noticed that one street lamp is dim but still provides some light near the school.,low,v2_original
Residents have noticed that sewage is flowing into several homes from an overflowing manhole near the school. The problem can be seen clearly from the roadside.,high,v2_original
Residents have noticed that a roadside drain is blocked and rainwater is collecting across part of the road in our neighbourhood. The issue has been reported by households nearby.,medium,v2_original
People in the area are reporting that a minor water leak is dripping from a public pipe near the community hall. Residents noticed the problem this morning.,low,v2_original
People in the area are reporting that a large public waste bin is overflowing onto the pavement close to the bus stop.,medium,v2_original
A local issue has developed where a large public waste bin is overflowing onto the pavement near the public market.,medium,v2_original
There is a problem where thick smoke is causing breathing difficulty among nearby residents along the roadside.,high,v2_original
tap water has a slight unusual smell but remains available in the residential area. The relevant department should investigate the problem.,low,v3_targeted_augmentation
There is a problem where thick smoke is causing breathing difficulty among nearby residents near our houses.,high,v2_original
We have noticed that one street lamp is dim but still provides some light near the school. People passing through the area are being affected.,low,v2_original
"at the village entrance, a shallow pothole has started forming on a quiet side road. normal access to the area is still possible. The relevant department should investigate the problem.",low,v3_targeted_augmentation
People in the area are reporting that a deep hole has opened across most of the traffic lane near a blind bend on the main road.,high,v2_original
There is a small amount of dust near a construction site near our houses. The condition becomes worse during busy periods.,low,v2_original
Construction dust is affecting nearby shops and homes throughout the day near the hospital.,medium,v2_original
Residents have noticed that a drain cover is slightly loose but still in place near the town centre. The issue has been reported by households nearby.,low,v2_original
People in the area are reporting that thick smoke is causing breathing difficulty among nearby residents on the main road.,high,v2_original
We have noticed that electrical wires are sparking beside a crowded pedestrian area on the main road. Several nearby residents have raised concerns.,high,v2_original
People in the area are reporting that a minor water leak is dripping from a public pipe near the school. The condition becomes worse during busy periods.,low,v2_original
The situation involves a roadside drain is blocked and rainwater is collecting across part of the road near the public market.,medium,v2_original
a few pieces of litter are scattered beside the walkway near the school. the condition should be checked before it becomes worse. Please arrange an inspection.,low,v3_targeted_augmentation
Residents have noticed that a water pipe is leaking continuously and a large amount of water is being wasted in our neighbourhood.,medium,v2_original
We have noticed that a damaged electrical pole is leaning over a busy road along the roadside. The condition becomes worse during busy periods.,high,v2_original
The situation involves a drain cover is slightly loose but still in place near the public market.,low,v2_original
"outside the hospital, a sewer blockage is producing a strong smell across nearby properties.",medium,v3_targeted_augmentation
We would like to report that a strong chemical release is affecting people in nearby homes near the hospital.,high,v3_targeted_augmentation
Residents have noticed that a single street sign area has minor surface damage at the main junction. The condition becomes worse during busy periods.,low,v2_original
We have noticed that a single street sign area has minor surface damage along the roadside. The condition has remained unchanged since yesterday.,low,v2_original
A single street sign area has minor surface damage along the roadside.,low,v2_original
Residents have noticed that garbage collection has been missed for several days and waste is accumulating near the town centre. The condition becomes worse during busy periods.,medium,v2_original
"beside the public walkway, a roadside drain is blocked and rainwater is collecting across part of the road. multiple households have reported the same problem. Please arrange an inspection.",medium,v3_targeted_augmentation
A local issue has developed where a small crack has appeared along the edge of a side road on the main road.,low,v2_original
Residents have noticed that several potholes are making vehicles slow down on the main road near the hospital. Several nearby residents have raised concerns.,medium,v2_original
A local issue has developed where one street lamp is dim but still provides some light near the public market.,low,v2_original
The situation involves several potholes are making vehicles slow down on the main road along the roadside.,medium,v2_original
Residents have noticed that smoke from a nearby workshop is entering nearby houses close to the bus stop. Several nearby residents have raised concerns.,medium,v2_original
There is a public complaint because a public area has accumulated a large amount of uncollected rubbish in the residential area. multiple households have reported the same problem. Please address this issue.,medium,v3_targeted_augmentation
The situation involves several potholes are making vehicles slow down on the main road near the community hall. People passing through the area are being affected.,medium,v2_original
A local issue has developed where one street lamp is dim but still provides some light near the public market. The condition becomes worse during busy periods.,low,v2_original
A local issue has developed where a small amount of litter is scattered near a bus stop on the main road.,low,v2_original
We have noticed that a large section of road has collapsed beside a school entrance near the hospital.,high,v2_original
Residents have noticed that a curb has a small chipped section close to the bus stop. People passing through the area are being affected.,low,v2_original
A curb has a small chipped section close to the playground. The issue is affecting normal use of the area.,low,v2_original
A local issue has developed where several potholes are making vehicles slow down on the main road near the community hall.,medium,v2_original
There is a public complaint because a deep hole has opened across most of the traffic lane near the public market. the situation presents an immediate danger to the public. Please send the responsible team.,high,v3_targeted_augmentation
A local issue has developed where a minor water leak is dripping from a public pipe close to the playground. Several nearby residents have raised concerns.,low,v2_original
There is a problem where a chemical liquid has leaked onto a public road beside residential buildings near the hospital.,high,v2_original
We have noticed that a sewer blockage is creating a strong smell across several nearby properties on the main road.,medium,v2_original
We are experiencing a situation where an exposed electrical cable is hanging where people can touch it near the public market. residents are at risk of serious injury. We would appreciate assistance with this problem.,high,v3_targeted_augmentation
A major water pipe has burst and water is entering nearby houses close to the bus stop.,high,v2_original
There is a problem where an exposed electrical cable is hanging low where pedestrians can reach it near the town centre. The issue has been reported by households nearby.,high,v2_original
There is a problem where electrical wires are sparking beside a crowded pedestrian area along the roadside.,high,v2_original
A local issue has developed where several potholes are making vehicles slow down on the main road in our neighbourhood. The condition becomes worse during busy periods.,medium,v2_original
Smoke from a nearby workshop is entering nearby houses near the community hall.,medium,v2_original
a small amount of dust is affecting one section of the road near the school. Please send the responsible team.,low,v3_targeted_augmentation
Residents have noticed that a shallow puddle forms after light rain near the public market.,low,v2_original
A large section of road has collapsed beside a school entrance close to the bus stop. Several nearby residents have raised concerns.,high,v2_original
A deep hole has opened across most of the traffic lane near a blind bend near the community hall.,high,v2_original
One street lamp is dim but still provides some light near the school. People passing through the area are being affected.,low,v2_original
A large section of road has collapsed beside a school entrance close to the playground.,high,v2_original
We have noticed that a small amount of litter is scattered near a bus stop close to the bus stop.,low,v2_original
We are experiencing a situation where an electrical box is open and live components are exposed to pedestrians outside our building. the area should be secured immediately. Please inspect the issue.,high,v3_targeted_augmentation
Residents have noticed that part of a roadside retaining wall has collapsed onto the traffic lane along the roadside.,high,v2_original
There is a public complaint because a group of street lamps is not functioning at night near the junction. the situation becomes worse during rainfall. We would appreciate assistance with this problem.,medium,v3_targeted_augmentation
We have noticed that several street lights along one road are not working close to the bus stop. Residents noticed the problem this morning.,medium,v2_original
Residents have noticed that water pressure is too low for many houses in the area at the main junction. The condition becomes worse during busy periods.,medium,v2_original
Several street lights along one road are not working near the public market.,medium,v2_original
"close to the bus stop, a roadside drain is blocked and rainwater is collecting across part of the road. the situation becomes worse during rainfall. Please arrange an inspection.",medium,v3_targeted_augmentation
Residents have reported that water pressure is too low for many houses in the area beside the public walkway. residents are requesting prompt attention. The relevant department should investigate the problem.,medium,v3_targeted_augmentation
A local issue has developed where one street lamp is dim but still provides some light on the main road.,low,v2_original
There is a problem where dense smoke from a nearby facility is causing residents to leave their homes close to the bus stop. Several nearby residents have raised concerns.,high,v2_original
A local issue has developed where a drain cover is slightly loose but still in place near the community hall. The problem has continued despite recent rainfall.,low,v2_original
The situation involves wastewater is overflowing from a drain onto the roadside near the hospital.,medium,v2_original
There is a problem where several street lights along one road are not working near the hospital. The problem has continued despite recent rainfall.,medium,v2_original
People in the area are reporting that a drain cover is slightly loose but still in place on the main road. The condition becomes worse during busy periods.,low,v2_original
There is a public complaint because a few pieces of litter are scattered beside the walkway near the community centre. normal access to the area is still possible. Please inspect the issue.,low,v3_targeted_augmentation
one household is experiencing slightly reduced water pressure near the hospital. Please inspect the issue.,low,v3_targeted_augmentation
We have noticed that a damaged electrical pole is leaning over a busy road along the roadside. The condition has remained unchanged since yesterday.,high,v2_original
People in the area are reporting that electrical wires are sparking beside a crowded pedestrian area near the community hall.,high,v2_original
A local issue has developed where the road surface is damaged in several places and motorcycles are having difficulty passing at the main junction. People passing through the area are being affected.,medium,v2_original
We have noticed that a damaged electrical pole is leaning over a busy road near the school. Several nearby residents have raised concerns.,high,v2_original
People in the area are reporting that the road surface is damaged in several places and motorcycles are having difficulty passing near the town centre.,medium,v2_original
People in the area are reporting that wastewater is overflowing from a drain onto the roadside in our neighbourhood. People in the area have reported the same issue.,medium,v2_original
One lamp flickers occasionally during the evening near the town centre. Several nearby residents have raised concerns.,low,v2_original
part of a roadside retaining wall has collapsed onto the traffic lane near the junction. the condition poses a direct risk to life and safety. Please inspect the issue.,high,v3_targeted_augmentation
Residents have reported that a drainage outlet is partially blocked and dirty water reaches the walkway close to the local clinic. the issue is causing significant inconvenience. Please arrange an inspection.,medium,v3_targeted_augmentation
Residents have noticed that a small amount of litter is scattered near a bus stop along the roadside.,low,v2_original
The community would like to report that a chemical liquid has spilled near houses and is producing strong fumes along the main road. the problem could cause a major accident. Please arrange an inspection.,high,v3_targeted_augmentation
floodwater is rising quickly around homes and residents cannot leave safely near the hospital. Please arrange an inspection.,high,v3_targeted_augmentation
A local issue has developed where a roadside drain is blocked and rainwater is collecting across part of the road near our houses. People passing through the area are being affected.,medium,v2_original
We have noticed that one lamp flickers occasionally during the evening close to the playground.,low,v2_original
A local issue has developed where water pressure is too low for many houses in the area on the main road. The condition has remained unchanged since yesterday.,medium,v2_original
The situation involves part of a roadside retaining wall has collapsed onto the traffic lane near the school. The condition becomes worse during busy periods.,high,v2_original
Water supply has been unavailable to a neighbourhood since yesterday near the public market.,medium,v2_original
Residents have noticed that electrical wires are sparking beside a crowded pedestrian area close to the playground. People in the area have reported the same issue.,high,v2_original
People in the area are reporting that smoke from a nearby workshop is entering nearby houses near the hospital. The problem can be seen clearly from the roadside.,medium,v2_original
a group of street lamps is not functioning at night in our neighbourhood. normal daily activities are being affected. Residents are requesting assistance.,medium,v3_targeted_augmentation
The situation involves a public bin is partly full but not overflowing in our neighbourhood. The issue has been reported by households nearby.,low,v2_original
People living nearby have noticed that a shallow pothole has started forming on a quiet side road outside our building. there is no immediate safety risk. Please address this issue.,low,v3_targeted_augmentation
A local issue has developed where wastewater is overflowing from a drain onto the roadside at the main junction. The issue has been reported by households nearby.,medium,v2_original
People in the area are reporting that one lamp flickers occasionally during the evening near our houses.,low,v2_original
A local issue has developed where several potholes are making vehicles slow down on the main road on the main road. The condition becomes worse during busy periods.,medium,v2_original
A local issue has developed where there is a small amount of dust near a construction site along the roadside.,low,v2_original
People in the area are reporting that a minor water leak is dripping from a public pipe at the main junction.,low,v2_original
People in the area are reporting that water pressure is too low for many houses in the area near the hospital. The condition becomes worse during busy periods.,medium,v2_original
The situation involves a minor water leak is dripping from a public pipe near the community hall.,low,v2_original
"near the community centre, multiple damaged sections of road are affecting normal traffic. several residents are affected by the problem. Residents are requesting assistance.",medium,v3_targeted_augmentation
A local issue has developed where a fallen power cable is lying across a pedestrian path on the main road. The condition becomes worse during busy periods.,high,v2_original
"near the hospital, a few pieces of litter are scattered beside the walkway. the issue is causing only a minor inconvenience. Residents are requesting assistance.",low,v3_targeted_augmentation
a deep hole has opened across most of the traffic lane outside the school. the area should be secured immediately.,high,v3_targeted_augmentation
"close to the local clinic, a public bin is partly full but is not overflowing. the issue is causing only a minor inconvenience. The relevant department should investigate the problem.",low,v3_targeted_augmentation
People in the area are reporting that a public bin is partly full but not overflowing near the public market. The condition becomes worse during busy periods.,low,v2_original
People in the area are reporting that a curb has a small chipped section along the roadside. The problem has continued despite recent rainfall.,low,v2_original
We have noticed that a public bin is partly full but not overflowing near the hospital. The condition has remained unchanged since yesterday.,low,v2_original
A local issue has developed where electrical wires are sparking beside a crowded pedestrian area along the roadside.,high,v2_original
We have noticed that a small crack has appeared along the edge of a side road near the town centre. The problem has continued despite recent rainfall.,low,v2_original
Residents have noticed that a major water pipe has burst and water is entering nearby houses near the community hall.,high,v2_original
People living nearby have noticed that a minor water leak is dripping slowly from a public pipe near the hospital. the issue is noticeable but not currently dangerous. Please address this issue.,low,v3_targeted_augmentation
We have noticed that there is a small amount of dust near a construction site near the public market. People in the area have reported the same issue.,low,v2_original
Residents have noticed that a sewer blockage is creating a strong smell across several nearby properties near the school.,medium,v2_original
There is a public complaint because a sewer blockage is producing a strong smell across nearby properties beside the public walkway. the issue is disrupting normal use of the area. Please take the necessary action.,medium,v3_targeted_augmentation
a large chemical spill is spreading across a public road near the public market. the problem could cause a major accident.,high,v3_targeted_augmentation
We are experiencing a situation where a public area has accumulated a large amount of uncollected rubbish near the hospital. several residents are affected by the problem. We would appreciate assistance with this problem.,medium,v3_targeted_augmentation
There is a problem where a major water pipe has burst and water is entering nearby houses near our houses.,high,v2_original
We have noticed that a large public waste bin is overflowing onto the pavement close to the bus stop. The problem can be seen clearly from the roadside.,medium,v2_original
The situation involves a large public waste bin is overflowing onto the pavement near the hospital. The issue is affecting normal use of the area.,medium,v2_original
We have noticed that a water main failure has flooded the entrance to a hospital in our neighbourhood.,high,v2_original
Residents have noticed that a curb has a small chipped section near the public market. People in the area have reported the same issue.,low,v2_original
floodwater has entered several houses and is continuing to rise beside the public road. Please address this issue.,high,v3_targeted_augmentation
The situation involves an exposed electrical cable is hanging low where pedestrians can reach it near our houses. People passing through the area are being affected.,high,v2_original
a section of road has sunk and vehicles must drive around it outside the school. residents are requesting prompt attention. The relevant department should investigate the problem.,medium,v3_targeted_augmentation
There is a problem where an exposed electrical cable is hanging low where pedestrians can reach it in our neighbourhood. The condition becomes worse during busy periods.,high,v2_original
One lamp flickers occasionally during the evening near the community hall. Residents noticed the problem this morning.,low,v2_original
A local issue has developed where garbage collection has been missed for several days and waste is accumulating at the main junction.,medium,v2_original
People living nearby have noticed that thick black smoke is filling nearby houses and residents are struggling to breathe near the community centre. the condition poses a direct risk to life and safety. Please address this issue.,high,v3_targeted_augmentation
a damaged power pole appears ready to fall onto passing vehicles close to the bus stop. Please send the responsible team.,high,v3_targeted_augmentation
There is a problem where a small amount of litter is scattered near a bus stop close to the playground. The problem can be seen clearly from the roadside.,low,v2_original
People in the area are reporting that a fallen power cable is lying across a pedestrian path at the main junction.,high,v2_original
There is a problem where tap water has a slight unusual smell but remains available along the roadside. The issue is affecting normal use of the area.,low,v2_original
A local issue has developed where water pressure is too low for many houses in the area close to the playground. The problem can be seen clearly from the roadside.,medium,v2_original
There is a public complaint because one household is experiencing slightly reduced water pressure near the railway station. residents can still use the area normally. The relevant department should investigate the problem.,low,v3_targeted_augmentation
A deep hole has opened across most of the traffic lane near a blind bend near the hospital.,high,v2_original
A local issue has developed where one street lamp is dim but still provides some light near the town centre. Several nearby residents have raised concerns.,low,v2_original
A local issue has developed where several potholes are making vehicles slow down on the main road near the school. People in the area have reported the same issue.,medium,v2_original
A local issue has developed where sewage is spreading across a school access road on the main road. The issue is affecting normal use of the area.,high,v2_original
People in the area are reporting that a damaged electrical pole is leaning over a busy road close to the playground. The issue is affecting normal use of the area.,high,v2_original
A local issue has developed where a large public waste bin is overflowing onto the pavement in our neighbourhood. The problem has continued despite recent rainfall.,medium,v2_original
A local issue has developed where there is a small amount of dust near a construction site near the school.,low,v2_original
A local issue has developed where a section of road has sunk and vehicles must drive around it near our houses. The issue is affecting normal use of the area.,medium,v2_original
The community would like to report that residents are experiencing repeated power cuts during the evening near the hospital. the problem should be addressed before it becomes dangerous. Please address this issue.,medium,v3_targeted_augmentation
The situation involves thick smoke is causing breathing difficulty among nearby residents at the main junction. The condition becomes worse during busy periods.,high,v2_original
We have noticed that the road surface is damaged in several places and motorcycles are having difficulty passing near our houses. The condition has remained unchanged since yesterday.,medium,v2_original
The situation involves there is a small amount of dust near a construction site near our houses. Several nearby residents have raised concerns.,low,v2_original
A local issue has developed where thick smoke is causing breathing difficulty among nearby residents at the main junction. The condition becomes worse during busy periods.,high,v2_original
We have noticed that a major water pipe has burst and water is entering nearby houses near the hospital.,high,v2_original
There is a problem where sewage is flowing into several homes from an overflowing manhole on the main road.,high,v2_original
A water pipe is leaking continuously and a large amount of water is being wasted at the main junction. People passing through the area are being affected.,medium,v2_original
People living nearby have noticed that a public bin is partly full but is not overflowing in our neighbourhood. the issue is noticeable but not currently dangerous.,low,v3_targeted_augmentation
Sewage is spreading across a school access road near the school.,high,v2_original
We have noticed that there is a small amount of dust near a construction site in our neighbourhood. The problem has continued despite recent rainfall.,low,v2_original
Residents have reported that residents are experiencing repeated power cuts during the evening close to the local clinic. the issue is causing significant inconvenience. Residents are requesting assistance.,medium,v3_targeted_augmentation
We have noticed that water pressure is too low for many houses in the area near the public market.,medium,v2_original
A shallow puddle forms after light rain near the town centre.,low,v2_original
We have noticed that a fallen power cable is lying across a pedestrian path close to the playground.,high,v2_original
"near the playground, an overflowing public bin is spreading waste across the surrounding area. residents are requesting prompt attention. Residents are requesting assistance.",medium,v3_targeted_augmentation
We have noticed that several potholes are making vehicles slow down on the main road near the school.,medium,v2_original
People in the area are reporting that a roadside drain has some leaves and sediment inside it close to the bus stop. Residents noticed the problem this morning.,low,v2_original
People living nearby have noticed that a damaged electrical pole is leaning over a busy road beside the public road. residents may need emergency assistance. The relevant department should investigate the problem.,high,v3_targeted_augmentation
We are experiencing a situation where a water pipe is leaking continuously and wasting a large amount of water outside the hospital. the problem has continued for more than a day. Please inspect the issue.,medium,v3_targeted_augmentation
People in the area are reporting that water supply has been unavailable to a neighbourhood since yesterday near our houses.,medium,v2_original
There is a public complaint because a drainage outlet is partially blocked and dirty water reaches the walkway outside the school. several residents are affected by the problem. Residents are requesting assistance.,medium,v3_targeted_augmentation
a water pipe is leaking continuously and wasting a large amount of water along the main road. multiple households have reported the same problem. Please address this issue.,medium,v3_targeted_augmentation
A local issue has developed where a deep hole has opened across most of the traffic lane near a blind bend near the town centre. Residents noticed the problem this morning.,high,v2_original
"close to the bus stop, part of a roadside retaining wall has collapsed onto the traffic lane.",high,v3_targeted_augmentation
The situation involves garbage collection has been missed for several days and waste is accumulating on the main road.,medium,v2_original
A local issue has developed where the road surface is damaged in several places and motorcycles are having difficulty passing at the main junction.,medium,v2_original
a strong chemical release is affecting people in nearby homes in the residential area. the area should be secured immediately. Please address this issue.,high,v3_targeted_augmentation
Water supply has been unavailable to a neighbourhood since yesterday along the roadside. People in the area have reported the same issue.,medium,v2_original
Residents have reported that a few pieces of litter are scattered beside the walkway near the hospital. the service remains available despite the issue. We would appreciate assistance with this problem.,low,v3_targeted_augmentation
Residents report that part of a roadside retaining wall has collapsed onto the traffic lane near the community centre.,high,v3_targeted_augmentation
A local issue has developed where a curb has a small chipped section near our houses. The condition has remained unchanged since yesterday.,low,v2_original
"close to the town centre, several potholes are making vehicles slow down and change direction. the issue is disrupting normal use of the area. Please arrange an inspection.",medium,v3_targeted_augmentation
a drainage outlet is partially blocked and dirty water reaches the walkway near the community centre. Please take the necessary action.,medium,v3_targeted_augmentation
A local issue has developed where several potholes are making vehicles slow down on the main road close to the playground.,medium,v2_original
a small patch of road surface has become uneven in our neighbourhood.,low,v3_targeted_augmentation
We would like to report that wastewater is overflowing from a drain onto the roadside near the railway station.,medium,v3_targeted_augmentation
"close to the local clinic, a sewer blockage is producing a strong smell across nearby properties.",medium,v3_targeted_augmentation
People in the area are reporting that a curb has a small chipped section near the community hall. People in the area have reported the same issue.,low,v2_original
There is a problem where a shallow puddle forms after light rain near the public market. The condition has remained unchanged since yesterday.,low,v2_original
part of a roadside retaining wall has collapsed onto the traffic lane near the junction.,high,v3_targeted_augmentation
The situation involves an exposed electrical cable is hanging low where pedestrians can reach it along the roadside. Several nearby residents have raised concerns.,high,v2_original
The road surface is damaged in several places and motorcycles are having difficulty passing close to the playground. The issue has been reported by households nearby.,medium,v2_original
The situation involves thick smoke is causing breathing difficulty among nearby residents near the town centre.,high,v2_original
"near the playground, a roadside drain contains some leaves but water can still pass. normal access to the area is still possible. The relevant department should investigate the problem.",low,v3_targeted_augmentation
We would like to report that wastewater is overflowing from a drain onto the roadside in our neighbourhood.,medium,v3_targeted_augmentation
The situation involves garbage collection has been missed for several days and waste is accumulating on the main road. People passing through the area are being affected.,medium,v2_original
There is a problem where a large section of road has collapsed beside a school entrance along the roadside. People in the area have reported the same issue.,high,v2_original
We have noticed that a small amount of litter is scattered near a bus stop near the community hall. Residents noticed the problem this morning.,low,v2_original
People in the area are reporting that tap water has a slight unusual smell but remains available near the town centre.,low,v2_original
We have noticed that a large public waste bin is overflowing onto the pavement along the roadside. People passing through the area are being affected.,medium,v2_original
The situation involves a public bin is partly full but not overflowing close to the bus stop. The problem can be seen clearly from the roadside.,low,v2_original
The situation involves tap water has a slight unusual smell but remains available near the hospital. The issue is affecting normal use of the area.,low,v2_original
A water main failure has flooded the entrance to a hospital near the public market. Several nearby residents have raised concerns.,high,v2_original
A local issue has developed where part of a roadside retaining wall has collapsed onto the traffic lane near the community hall.,high,v2_original
We have noticed that a small patch of the road surface has become uneven at the main junction. The condition has remained unchanged since yesterday.,low,v2_original
There is a small amount of dust near a construction site near the hospital. The condition becomes worse during busy periods.,low,v2_original
A water main failure has flooded the entrance to a hospital along the roadside. The problem has continued despite recent rainfall.,high,v2_original
Residents have noticed that tap water has a slight unusual smell but remains available in our neighbourhood.,low,v2_original
There is a problem where sewage is spreading across a school access road in our neighbourhood.,high,v2_original
There is a problem where a roadside drain has some leaves and sediment inside it at the main junction. The issue has been reported by households nearby.,low,v2_original
There is a problem where a deep hole has opened across most of the traffic lane near a blind bend near the community hall. The issue is affecting normal use of the area.,high,v2_original
A roadside drain has some leaves and sediment inside it near the community hall. Residents noticed the problem this morning.,low,v2_original
The situation involves a small patch of the road surface has become uneven close to the playground. People in the area have reported the same issue.,low,v2_original
We have noticed that a water pipe is leaking continuously and a large amount of water is being wasted close to the bus stop.,medium,v2_original
People in the area are reporting that smoke from a nearby workshop is entering nearby houses near the hospital. People passing through the area are being affected.,medium,v2_original
A local issue has developed where there is a small amount of dust near a construction site close to the playground.,low,v2_original
There is a problem where garbage collection has been missed for several days and waste is accumulating near the hospital. The issue has been reported by households nearby.,medium,v2_original
We have noticed that a deep hole has opened across most of the traffic lane near a blind bend near our houses.,high,v2_original
The situation involves tap water has a slight unusual smell but remains available near the school. The problem can be seen clearly from the roadside.,low,v2_original
Residents have reported that a live electrical wire is lying across a pedestrian path at the village entrance. the problem could cause a major accident. Please take the necessary action.,high,v3_targeted_augmentation
People living nearby have noticed that multiple damaged sections of road are affecting normal traffic close to the bus stop. the issue is disrupting normal use of the area. The relevant department should investigate the problem.,medium,v3_targeted_augmentation
People in the area are reporting that dense smoke from a nearby facility is causing residents to leave their homes near the town centre.,high,v2_original
People living nearby have noticed that a group of street lamps is not functioning at night near the railway station. the area can still be used but with difficulty. Please address this issue.,medium,v3_targeted_augmentation
Residents have noticed that a minor water leak is dripping from a public pipe near the hospital. The condition has remained unchanged since yesterday.,low,v2_original
A small patch of the road surface has become uneven at the main junction.,low,v2_original
A local issue has developed where a minor water leak is dripping from a public pipe near the town centre.,low,v2_original
